playerId,CPEV,num_regains,total_minutes,CPEV_per90,playerName
212644,2.1599047716881374,97,1530.7279647999999,0.1269927994536449,Gonzalo Escalante
279555,1.108777493037729,59,1044.5537111333333,0.09553359804267432,Iv\u00e1n Alejo Peralta
286448,2.137397937564916,106,2046.9086553,0.09397869996922205,Mauro Wilney Arambarri Rosa
355599,2.819661223113996,86,2714.718227383333,0.09347913441641542,Mikel Oyarzabal Ugarte
247207,2.503131232272284,104,2435.1201845666665,0.09251363129109572,Joan Jord\u00e1n Moreno
43051,2.156209174165582,128,2368.9686027,0.08191701040432806,Gabriel Appelt Pires
40550,1.754935866233252,86,1932.0100044166666,0.0817512474572723,Jos\u00e9 Paulo Bezzera Maciel J\u00fanior
3503,2.316390793761406,101,2588.189063566667,0.08054866407295466,Ra\u00fal Garc\u00eda Escudero
127928,1.0219478133898123,57,1163.7482562333334,0.07903367649527279,Darko Bra\u0161anac
3538,0.943420058333861,58,1078.7101656166667,0.0787123436456244,Mubarak Wakaso
3409,1.8364925654399313,107,2142.4550607,0.07714716351417462,Mikel San Jos\u00e9 Dom\u00ednguez
255738,1.8439792900695626,112,2158.88229425,0.07687224845387637,Jefferson Andr\u00e9s Lerma Sol\u00eds
20823,1.504096180863017,81,1807.9657841166668,0.07487346136022688,Franco Dami\u00e1n V\u00e1zquez
207001,0.9593055719570454,52,1154.4024078166667,0.0747897794491135,Carlos Joaqu\u00edn Correa
3280,1.9874242209770807,113,2429.5423011666667,0.07362217146910541,\u00c9ver Maximiliano David Banega
3674,1.1787666637822212,77,1450.5994312833334,0.07313459350149051,Markel Bergara Larra\u00f1aga
3705,1.8919988478975138,79,2335.69201975,0.07290340287629278,Adri\u00e1n Gonz\u00e1lez Morales
3346,2.1131450286456506,115,2618.500851566667,0.07263051011204397,Sergio Busquets i Burgos
269060,1.4693880784373292,73,1849.0462720833334,0.07152061527933443,Pedro Pablo Hern\u00e1ndez
5195,1.1046228688007422,55,1395.7908250166665,0.07122561375976928,Juli\u00e1n Omar Ramos Su\u00e1rez
5542,2.1695617532358273,117,2789.71646275,0.06999297613161151,Daniel Garc\u00eda Carrillo
4379,1.5716465945138447,73,2021.0722121666668,0.06998670935889428,Jonathan Viera Ramos
346195,2.0751964847699824,122,2685.70698795,0.06954134775955517,Fabi\u00e1n Ruiz Pe\u00f1a
25623,1.9877047822963616,123,2623.5003288,0.06818883475745519,Geoffrey Kondogbia
40614,1.9026747753894457,117,2614.3799411333334,0.06549955769275727,Guilherme dos Santos Torres
7585,1.765375372982825,124,2442.856419566667,0.0650401645777603,Manuel Alejandro Garc\u00eda S\u00e1nchez
51004,1.6502123475385675,96,2289.1110481,0.06488069305407633,Celso Borges Mora
230895,1.7586635947675668,99,2533.4445138666665,0.06247609634343512,Pere Pons Riera
3572,1.6596979533594245,108,2415.0655002333333,0.06185042011817752,Francisco Portillo Soler
247220,1.1752250474942645,50,1727.8963291666666,0.06121331036422475,David Remeseiro Salgueiro
261127,1.0182081356010462,57,1513.0486667,0.06056562106753691,Adnan Januzaj
3676,2.0887826251189607,132,3200.9490226666667,0.058729593920272494,Asier Illarramendi Andonegi
4488,2.064556942616851,151,3164.63960675,0.05871446607670394,Sa\u00fal \u00d1\u00edguez Esclapez
280383,1.009487090377251,65,1548.3094614833333,0.05867937928049056,Enis Bardhi
4332,1.1880197228680904,108,1847.3847959500001,0.05787737091510739,Javier Fuego Mart\u00ednez
14723,1.4491670507978063,60,2263.8788647,0.057611313310743754,Toni Kroos
344075,0.8964951097289942,64,1411.8046832,0.057149944914993235,I\u00f1igo C\u00f3rdoba Kerejeta
3414,1.1852557113187876,77,1899.3858738499998,0.05616184446105613,Ander Iturraspe Derteano
399676,1.5835369357774405,84,2589.0190954,0.0550472279146905,Pablo Fornals Malla
359847,1.460670316105075,95,2396.1646361166668,0.05486281137280589,Alfonso Pedraza Sag
3287,1.7605907700552799,98,2918.8423086166667,0.0542863068817415,Cristian Portugu\u00e9s Manzanera
395114,0.9470240547357631,72,1590.63368375,0.05358377972059507,Igor Zubeld\u00eda Elorza
134174,1.16579847377456,86,2038.2391531833334,0.05147671826235054,Samuel Castillejo Azuaga
364860,1.8313420609681879,174,3270.65074185,0.05039388136989162,Rodrigo Hern\u00e1ndez Cascante
25888,1.3453476234741673,95,2415.6810347,0.050123043718688615,Fay\u00e7al Fajr
3650,1.2825585080063246,102,2344.2326098,0.049240107503844194,Tom\u00e1s Pina Isla
3645,1.0819868821081153,70,2007.9995573666665,0.04849543867302194,Gonzalo Castro Iriz\u00e1bal
3568,0.9875180693866732,81,1834.7565228666667,0.048440556083124135,Jos\u00e9 Luis Garc\u00eda del Pozo
40756,1.396895861182522,110,2623.4920038166665,0.047921101845756764,Carlos Henrique Casimiro
241945,1.2916844556550922,70,2427.646391083333,0.047886546177378496,Pione Sisto Ifolo Emirmija
214062,1.5241913860558451,112,2864.65663435,0.04788609674895715,Alejandro Granell Nogu\u00e9
3803,1.4321686691084226,93,2741.1239236,0.047022748263958865,Sergi Darder Moll
3420,1.1399831377488252,69,2184.63729105,0.046963623123032226,Markel Susaeta Laskurain
8200,1.1345160132489653,60,2226.92116855,0.04585094552713366,Steven N'Kemboanza Mike Christopher N'Zonzi
3282,0.9368564259630316,56,1905.7605186833334,0.044243270605126436,Sergio Canales Madrazo
3476,1.3880081310993444,89,2834.5352559166668,0.04407097478790843,Ivan Rakiti\u0107
6370,1.2070637383388279,87,2470.3747823999997,0.043975406980536584,Javier Eraso Go\u00f1i
